"","RRcode","City","province_code","Start_date","tenure_days_","tenure_bracket","cost_center","tran_month","production","depletion","nag"
"135","YVWU","Qedicine Lat","province2","23-Aug-10","3","#N/A","8140",2014-03-03,542204.92,-445014.13,97190.78
"136","YVWU","Qedicine Lat","province2","23-Aug-10","3","#N/A","8140",2014-04-01,169286.98,-273965.51,-104678.53
"137","YVWU","Qedicine Lat","province2","23-Aug-10","3","#N/A","8140",2014-05-01,587804.63,-132248.77,455555.86
"138","YVWU","Qedicine Lat","province2","23-Aug-10","3","#N/A","8140",2014-06-02,1239678.04,-619555.21,620122.83
"139","YVWU","Qedicine Lat","province2","23-Aug-10","3","#N/A","8140",2014-07-01,157953.9,-105976.78,51977.13
"140","YVWU","Qedicine Lat","province2","23-Aug-10","3","#N/A","8140",2014-08-01,458599.59,-223966.01,234633.58
"141","YVWU","Qedicine Lat","province2","23-Aug-10","4","#N/A","8140",2014-09-02,1132536.4,-492211.34,640325.06
"142","YVWU","Qedicine Lat","province2","23-Aug-10","4","#N/A","8140",2014-10-01,902834.85,-496300.82,406534.03
"143","YVWU","Qedicine Lat","province2","23-Aug-10","4","#N/A","8140",2014-11-03,1409466.69,-272535.69,1136930.99
"144","YVWU","Qedicine Lat","province2","23-Aug-10","4","#N/A","8140",2014-12-01,1627789.12,-343123.17,1284665.94
"145","YVWU","Qedicine Lat","province2","23-Aug-10","4","#N/A","8140",2015-01-02,819674.76,-73005.35,746669.41
"146","YVWU","Qedicine Lat","province2","23-Aug-10","4","#N/A","8140",2015-02-02,857518.12,-154906.07,702612.05
"147","YVWU","Qedicine Lat","province2","23-Aug-10","4","#N/A","8140",2015-03-02,2122440.58,-511186.17,1611254.41
"148","YVWV","Tncaster","province8","16-Aug-10","0","#N/A","7687",2011-01-03,72911.47,-693.41,72218.06
"149","YVWV","Tncaster","province8","16-Aug-10","0","#N/A","7687",2011-02-01,111125.58,-445.82,110679.76
"150","YVWV","Tncaster","province8","16-Aug-10","0","#N/A","7687",2011-03-01,454307.3,-521.1,453786.2
"151","YVWV","Tncaster","province8","16-Aug-10","0","#N/A","7687",2011-04-01,860116.51,-478.36,859638.15
"152","YVWV","Tncaster","province8","16-Aug-10","0","#N/A","7687",2011-05-02,1215162.03,-5052.76,1210109.27
"153","YVWV","Tncaster","province8","16-Aug-10","0","#N/A","7687",2011-06-01,1222051.21,-6497.13,1215554.08
"154","YVWV","Tncaster","province8","16-Aug-10","0","#N/A","7687",2011-07-01,994413.88,-1762.79,992651.1
"155","YVWV","Tncaster","province8","16-Aug-10","0","#N/A","7687",2011-08-01,230823.42,-6737.29,224086.13
"156","YVWV","Tncaster","province8","16-Aug-10","1","#N/A","7687",2011-09-01,860400.31,-131740.47,728659.84
"157","YVWV","Tncaster","province8","16-Aug-10","1","#N/A","7687",2011-10-03,333720.33,-25877.85,307842.49
"158","YVWV","Tncaster","province8","16-Aug-10","1","#N/A","7687",2011-11-01,271471.47,-14625.15,256846.32
"159","YVWV","Tncaster","province8","16-Aug-10","1","#N/A","7687",2011-12-01,448311.46,-28261.06,420050.4
"160","YVWV","Tncaster","province8","16-Aug-10","1","#N/A","7687",2012-01-03,715268.82,-49341.18,665927.64
"161","YVWV","Tncaster","province8","16-Aug-10","1","#N/A","7687",2012-02-01,1696615.9,-125273.97,1571341.93
"162","YVWV","Tncaster","province8","16-Aug-10","1","#N/A","7687",2012-03-01,1444600.69,-179215.09,1265385.6
"163","YVWV","Tncaster","province8","16-Aug-10","1","#N/A","7687",2012-04-02,790932.68,-301434.7,489497.98
"164","YVWV","Tncaster","province8","16-Aug-10","1","#N/A","7687",2012-05-01,268425.4,-82612.8,185812.6
"165","YVWV","Tncaster","province8","16-Aug-10","1","#N/A","7687",2012-06-01,260637.23,-26222.82,234414.41
"166","YVWV","Tncaster","province8","16-Aug-10","1","#N/A","7687",2012-07-02,461559.14,-82793.36,378765.77
"167","YVWV","Tncaster","province8","16-Aug-10","1","#N/A","7687",2012-08-01,118445.55,-23130.55,95314.99
"168","YVWV","Tncaster","province8","16-Aug-10","2","#N/A","7687",2012-09-04,60693.74,-487312.16,-426618.42
"169","YVWV","Tncaster","province8","16-Aug-10","2","#N/A","7687",2012-10-01,160065.17,-27666.06,132399.11
"170","YVWV","Tncaster","province8","16-Aug-10","3","#N/A","7687",2013-10-01,27104.73,-67929.31,-40824.58
"171","YVWV","Tncaster","province8","16-Aug-10","3","#N/A","7687",2013-11-01,579437.29,-211054.92,368382.37
"172","YVWV","Tncaster","province8","16-Aug-10","3","#N/A","7687",2013-12-02,1070593.81,-459673.54,610920.27
"173","YVWV","Tncaster","province8","16-Aug-10","3","#N/A","7687",2014-01-02,3002995.23,-544776.97,2458218.26
"174","YVWV","Tncaster","province8","16-Aug-10","3","#N/A","7687",2014-02-03,2340688.05,-271944.84,2068743.21
"175","YVWV","Tncaster","province8","16-Aug-10","3","#N/A","7687",2014-03-03,3251924.09,-89712.57,3162211.52
"176","YVWV","Tncaster","province8","16-Aug-10","3","#N/A","7687",2014-04-01,1624601.7,-45089.46,1579512.23
"177","YVWV","Tncaster","province8","16-Aug-10","3","#N/A","7687",2014-05-01,792715.73,-78488.19,714227.54
"178","YVWV","Tncaster","province8","16-Aug-10","3","#N/A","7687",2014-06-02,1792757.4,-719867.29,1072890.11
"179","YVWV","Tncaster","province8","16-Aug-10","3","#N/A","7687",2014-07-01,1913322.61,-64492.88,1848829.72
"180","YVWV","Tncaster","province8","16-Aug-10","3","#N/A","7687",2014-08-01,662826.02,-53324.92,609501.1
"181","YVWV","Tncaster","province8","16-Aug-10","4","#N/A","7687",2014-09-02,1159916.5,-612595.57,547320.94
"182","YVWV","Tncaster","province8","16-Aug-10","4","#N/A","7687",2014-10-01,2392781.06,-720329.88,1672451.18
"183","YVWV","Tncaster","province8","16-Aug-10","4","#N/A","7687",2014-11-03,2648676.78,-880435.62,1768241.16
"184","YVWV","Tncaster","province8","16-Aug-10","4","#N/A","7687",2014-12-01,2110578.09,-1421182.7,689395.39
"185","YVWV","Tncaster","province8","16-Aug-10","4","#N/A","7687",2015-01-02,620445.43,-245659.68,374785.75
"186","YVWV","Tncaster","province8","16-Aug-10","4","#N/A","7687",2015-02-02,2574992.66,-242871.15,2332121.51
"187","YVWV","Tncaster","province8","16-Aug-10","4","#N/A","7687",2015-03-02,4869634.77,-1705002.05,3164632.72
"188","YVWX","Zuelph","province8","1-Nov-10","0","#N/A","4452",2011-01-03,292794.9,-163.27,292631.62
"189","YVWX","Zuelph","province8","1-Nov-10","0","#N/A","4452",2011-02-01,627262.29,-5824.58,621437.71
"190","YVWX","Zuelph","province8","1-Nov-10","0","#N/A","4452",2011-03-01,376476.79,-15350.54,361126.26
"191","YVWX","Zuelph","province8","1-Nov-10","0","#N/A","4452",2011-04-01,711820.92,-244308.58,467512.34
"192","YVWX","Zuelph","province8","1-Nov-10","0","#N/A","4452",2011-05-02,301465.32,-114172.7,187292.62
"193","YVWX","Zuelph","province8","1-Nov-10","0","#N/A","4452",2011-06-01,124872.81,-3094.4,121778.41
"194","YVWX","Zuelph","province8","1-Nov-10","0","#N/A","4452",2011-07-01,269674.63,-3234.58,266440.06
"195","YVWX","Zuelph","province8","1-Nov-10","0","#N/A","4452",2011-08-01,401881.59,-3721.23,398160.35
"196","YVWX","Zuelph","province8","1-Nov-10","0","#N/A","4452",2011-09-01,185033.45,-3450.92,181582.53
"197","YVWX","Zuelph","province8","1-Nov-10","0","#N/A","4452",2011-10-03,542833.33,-7943.54,534889.78
"198","YVWX","Zuelph","province8","1-Nov-10","1","#N/A","4452",2011-11-01,1066338.49,-47259.52,1019078.97
"199","YVWX","Zuelph","province8","1-Nov-10","1","#N/A","4452",2011-12-01,306256.09,-12870.86,293385.24
"200","YVWX","Zuelph","province8","1-Nov-10","1","#N/A","4452",2012-01-03,540001.3,-268647.44,271353.86
"201","YVWX","Zuelph","province8","1-Nov-10","1","#N/A","4452",2012-02-01,222547.56,-99587.12,122960.44
"202","YVWX","Zuelph","province8","1-Nov-10","1","#N/A","4452",2012-03-01,526635.92,-53863.42,472772.5
"203","YVWX","Zuelph","province8","1-Nov-10","1","#N/A","4452",2012-04-02,182935.07,-165370.28,17564.79
"204","YVWX","Zuelph","province8","1-Nov-10","1","#N/A","4452",2012-05-01,854048.01,-91201.83,762846.19
"205","YVWX","Zuelph","province8","1-Nov-10","1","#N/A","4452",2012-06-01,569297.85,-302393.36,266904.49
"206","YVWX","Zuelph","province8","1-Nov-10","1","#N/A","4452",2012-07-02,269923.05,-57564.26,212358.79
"207","YVWX","Zuelph","province8","1-Nov-10","1","#N/A","4452",2012-08-01,334119.25,-66595.89,267523.37
"208","YVWX","Zuelph","province8","1-Nov-10","1","#N/A","4452",2012-09-04,560118.26,-12012.72,548105.54
"209","YVWX","Zuelph","province8","1-Nov-10","1","#N/A","4452",2012-10-01,157216.26,-89982.18,67234.08
"210","YVWX","Zuelph","province8","1-Nov-10","2","#N/A","4452",2012-11-01,244320.92,-117479.26,126841.66
"211","YVWX","Zuelph","province8","1-Nov-10","2","#N/A","4452",2012-12-03,557879,-87420.94,470458.06
"212","YVWX","Zuelph","province8","1-Nov-10","2","#N/A","4452",2013-01-02,1066422.28,-681089.97,385332.31
"213","YVWX","Zuelph","province8","1-Nov-10","2","#N/A","4452",2013-02-01,743822.84,-138818.97,605003.88
"214","YVWX","Zuelph","province8","1-Nov-10","2","#N/A","4452",2013-03-01,347480.35,-9537.96,337942.39
"215","YVWX","Zuelph","province8","1-Nov-10","2","#N/A","4452",2013-04-01,1062132.43,-36661.48,1025470.95
"216","YVWX","Zuelph","province8","1-Nov-10","2","#N/A","4452",2013-05-01,1288163.22,-34205.34,1253957.88
"217","YVWX","Zuelph","province8","1-Nov-10","2","#N/A","4452",2013-06-03,839394.1,-30727.79,808666.31
"218","YVWX","Zuelph","province8","1-Nov-10","2","#N/A","4452",2013-07-01,1659591.15,-486203.44,1173387.72
"219","YVWX","Zuelph","province8","1-Nov-10","2","#N/A","4452",2013-08-01,1605277.1,-219213.52,1386063.57
"220","YVWX","Zuelph","province8","1-Nov-10","2","#N/A","4452",2013-09-03,798886.68,-494807.94,304078.74
"221","YVWX","Zuelph","province8","1-Nov-10","2","#N/A","4452",2013-10-01,2829772.97,-379620.06,2450152.91
"222","YVWX","Zuelph","province8","1-Nov-10","3","#N/A","4452",2013-11-01,1362575.61,-32225.6,1330350.01
"223","YVWX","Zuelph","province8","1-Nov-10","3","#N/A","4452",2013-12-02,1658579.69,-174234.02,1484345.66
"224","YVWX","Zuelph","province8","1-Nov-10","3","#N/A","4452",2014-01-02,569332.04,-524852.27,44479.77
"225","YVWX","Zuelph","province8","1-Nov-10","3","#N/A","4452",2014-02-03,993756.68,-220774.34,772982.34
"226","YVWX","Zuelph","province8","1-Nov-10","3","#N/A","4452",2014-03-03,2017177.04,-893696.06,1123480.99
"227","YVWX","Zuelph","province8","1-Nov-10","3","#N/A","4452",2014-04-01,1122732.39,-891724.21,231008.17
"228","YVWX","Zuelph","province8","1-Nov-10","3","#N/A","4452",2014-05-01,1670281.24,-804148.33,866132.91
"229","YVWX","Zuelph","province8","1-Nov-10","3","#N/A","4452",2014-06-02,1904211.1,-98977.01,1805234.1
"230","YVWX","Zuelph","province8","1-Nov-10","3","#N/A","4452",2014-07-01,553617.83,-1060057.95,-506440.12
"231","YVWX","Zuelph","province8","1-Nov-10","3","#N/A","4452",2014-08-01,358098.11,-582531.4,-224433.29
"232","YVWX","Zuelph","province8","1-Nov-10","3","#N/A","4452",2014-09-02,1793537.98,-148097.87,1645440.11
"233","YVWX","Zuelph","province8","1-Nov-10","3","#N/A","4452",2014-10-01,1465343.19,-387228.77,1078114.43
